EngagementID;ContentID;CampaignID;ProductID;ContentType;Likes;Views;Clicks;EngagementDate
61;47;16;7;BLOG;72;2847;528;24.01.2024
62;15;18;10;SOCIAL MEDIA;2;1521;33;29.05.2025
63;31;16;16;NEWSLETTER;6;1473;97;28.03.2025
64;49;1;15;VIDEO;0;111;3;03.12.2025
65;3;14;12;BLOG;30;524;94;05.10.2023
66;28;4;5;VIDEO;23;1493;141;12.09.2024
67;29;2;19;NEWSLETTER;176;5147;788;10.06.2024
68;33;3;19;VIDEO;5;239;43;20.10.2024
69;50;2;8;BLOG;68;2935;303;11.05.2024
70;12;12;11;SOCIAL MEDIA;10;228;49;30.04.2024
71;37;11;14;VIDEO;459;4368;1156;04.03.2023
72;19;17;1;BLOG;657;6991;2499;06.01.2023
73;10;18;3;SOCIAL MEDIA;0;40;4;06.04.2025
74;6;7;7;NEWSLETTER;64;4098;761;22.08.2023
75;11;13;18;VIDEO;12;565;137;01.05.2024
76;48;14;3;BLOG;545;6205;2834;11.03.2023
77;26;20;18;SOCIAL MEDIA;143;1671;482;27.08.2023
78;44;17;2;SOCIAL MEDIA;2;713;44;07.06.2025
79;36;9;16;VIDEO;397;3632;1500;26.04.2023
80;15;19;12;VIDEO;8;1535;243;04.01.2025
81;30;11;2;NEWSLETTER;11;581;117;30.06.2024
82;49;8;20;SOCIAL MEDIA;142;1354;425;26.04.2023
83;48;9;2;VIDEO;14;1933;158;20.02.2025
84;24;18;14;SOCIAL MEDIA;116;6319;832;22.05.2023
85;34;18;20;VIDEO;0;36;3;08.05.2025
86;37;3;7;BLOG;5;1576;45;06.04.2025
87;8;2;2;BLOG;111;3142;602;27.07.2024
88;28;12;7;SOCIAL MEDIA;121;1360;440;01.10.2023
89;21;2;13;SOCIAL MEDIA;1;214;15;27.11.2024
90;35;7;9;VIDEO;595;3338;1402;25.05.2023
91;8;7;13;BLOG;9;379;95;26.05.2024
92;35;3;8;VIDEO;3;516;49;21.05.2025
93;23;1;17;SOCIAL MEDIA;147;2989;1283;19.02.2023
94;33;15;17;VIDEO;389;2595;933;18.02.2023
95;35;1;7;NEWSLETTER;22;1193;209;15.08.2024
96;17;14;13;BLOG;32;712;142;15.07.2024
97;34;16;7;BLOG;3;696;47;01.07.2025
98;44;11;8;BLOG;0;231;10;20.08.2025
99;26;17;4;BLOG;119;3511;479;15.04.2024
100;32;15;13;VIDEO;34;2657;175;05.05.2024
101;44;2;12;NEWSLETTER;755;7637;3102;14.04.2023
102;11;7;7;BLOG;234;7389;927;01.04.2023
103;15;16;16;NEWSLETTER;5;949;38;15.12.2024
104;25;11;12;SOCIAL MEDIA;133;5433;892;24.09.2023
105;10;16;11;BLOG;465;4327;1380;10.08.2023
106;13;17;11;SOCIAL MEDIA;335;7793;951;23.08.2023
107;20;6;12;BLOG;0;150;4;27.01.2025
108;48;15;6;BLOG;56;2826;264;26.10.2023
109;25;20;4;BLOG;81;1998;458;07.08.2024
110;12;3;4;SOCIAL MEDIA;75;1408;307;09.06.2024
111;34;7;8;BLOG;10;1942;99;18.05.2025
112;45;10;10;NEWSLETTER;57;2195;578;09.05.2024
113;49;17;14;VIDEO;31;898;184;08.02.2023
114;32;18;18;SOCIAL MEDIA;0;314;12;30.06.2025
115;31;18;11;NEWSLETTER;113;3068;1210;17.05.2023
116;35;1;19;VIDEO;0;106;7;15.03.2025
117;23;12;18;SOCIAL MEDIA;0;924;32;24.09.2025
118;39;17;7;BLOG;0;191;3;04.12.2025
119;45;11;15;BLOG;117;3962;426;12.07.2023
120;33;1;7;VIDEO;164;1674;486;14.09.2023
121;5;17;7;VIDEO;1071;8641;3301;09.02.2023
122;13;6;12;VIDEO;63;5471;615;17.04.2024
123;15;7;8;BLOG;0;908;38;16.12.2025
124;39;7;19;BLOG;32;2847;274;16.11.2024
125;44;12;20;SOCIAL MEDIA;29;621;199;22.08.2023
126;34;20;4;BLOG;19;2086;218;27.04.2025
127;41;6;6;VIDEO;19;989;103;29.10.2023
128;35;17;5;NEWSLETTER;109;2235;408;27.02.2024
129;7;5;1;BLOG;2;401;30;17.08.2024
130;5;11;1;SOCIAL MEDIA;120;2081;406;05.02.2024
131;49;11;16;NEWSLETTER;45;2977;695;30.03.2024
132;2;19;8;SOCIAL MEDIA;88;2773;541;28.07.2023
133;44;18;6;VIDEO;2;415;34;18.04.2025
134;1;11;14;SOCIAL MEDIA;0;359;18;08.09.2025
135;21;18;16;SOCIAL MEDIA;30;2949;352;20.12.2024
136;30;16;8;BLOG;524;6423;2478;05.07.2023
137;3;9;9;BLOG;46;782;239;07.11.2023
138;19;15;17;VIDEO;113;2352;425;02.01.2024
139;48;11;12;SOCIAL MEDIA;51;1629;404;20.01.2024
140;11;6;6;VIDEO;394;7397;1971;08.03.2023
141;47;13;16;VIDEO;30;861;264;24.01.2024
142;35;6;1;VIDEO;0;261;5;05.11.2025
143;34;8;1;BLOG;273;3932;784;22.10.2023
144;27;10;12;SOCIAL MEDIA;3;689;44;07.02.2025
145;26;15;11;NEWSLETTER;14;1662;123;12.04.2025
146;18;20;10;NEWSLETTER;0;415;8;10.09.2025
147;13;5;1;SOCIAL MEDIA;5;1219;74;19.04.2025
148;3;17;16;BLOG;97;3003;918;10.10.2023
149;26;7;4;SOCIAL MEDIA;389;6616;805;01.02.2023
150;45;6;13;SOCIAL MEDIA;85;4611;373;25.07.2024
151;30;1;12;BLOG;299;5131;1303;30.05.2024
152;32;4;4;NEWSLETTER;15;1237;214;05.07.2024
153;41;6;16;BLOG;0;392;5;15.12.2025
154;1;16;17;NEWSLETTER;208;2857;804;20.08.2023
155;3;17;11;BLOG;33;4350;269;03.05.2024
156;24;19;4;SOCIAL MEDIA;26;1657;164;18.01.2024
157;36;10;3;SOCIAL MEDIA;7;743;47;14.01.2025
158;17;4;12;NEWSLETTER;207;4613;1539;03.06.2023
159;29;5;18;SOCIAL MEDIA;9;361;64;04.10.2024
160;2;17;6;NEWSLETTER;0;811;21;28.12.2025
161;39;18;19;BLOG;180;4407;1105;19.04.2024
162;23;17;14;BLOG;7;1211;104;17.03.2025
163;9;16;5;VIDEO;233;4613;1553;08.01.2023
164;6;6;14;SOCIAL MEDIA;32;2995;432;07.09.2024
165;44;8;5;NEWSLETTER;314;2831;1085;27.04.2023
166;30;13;5;NEWSLETTER;37;1671;280;15.10.2023
167;19;8;3;NEWSLETTER;564;8049;2900;17.07.2023
168;36;15;14;SOCIAL MEDIA;21;1969;201;14.05.2025
169;26;10;2;NEWSLETTER;1;101;11;18.10.2024
170;46;13;13;NEWSLETTER;1;968;37;02.10.2025
171;46;1;19;VIDEO;0;79;2;05.11.2025
172;26;9;1;SOCIAL MEDIA;15;801;97;13.12.2023
173;20;17;3;VIDEO;393;6025;2221;09.05.2023
174;16;3;18;SOCIAL MEDIA;27;5073;312;16.05.2024
175;4;15;16;VIDEO;16;3550;300;10.06.2024
176;9;5;4;SOCIAL MEDIA;16;1142;121;28.06.2023
177;2;5;7;BLOG;773;8103;1781;24.03.2023
178;21;11;13;NEWSLETTER;95;3906;465;11.09.2023
179;25;19;19;VIDEO;3;1052;65;04.05.2025
180;39;11;12;BLOG;113;4079;473;18.01.2024
181;16;14;13;VIDEO;12;2963;199;02.02.2025
182;7;20;12;VIDEO;6;422;68;29.04.2024
183;50;4;16;BLOG;5;1395;87;25.01.2025
184;27;13;15;BLOG;0;168;6;31.08.2025
185;10;9;2;BLOG;66;2229;255;09.03.2024
186;9;11;13;NEWSLETTER;24;2308;187;16.12.2024
187;45;6;10;BLOG;197;2478;717;29.03.2024
188;18;20;7;BLOG;2;2009;53;19.04.2025
189;50;4;9;BLOG;266;2523;840;14.10.2023
190;1;17;11;NEWSLETTER;400;5753;1480;13.05.2023
191;23;18;19;NEWSLETTER;13;2687;123;30.01.2025
192;41;10;12;SOCIAL MEDIA;54;1556;312;24.09.2024
193;30;9;2;BLOG;26;3358;400;28.07.2024
194;34;15;10;SOCIAL MEDIA;125;5719;587;15.08.2023
195;13;10;10;SOCIAL MEDIA;1;76;7;07.06.2024
196;33;13;4;VIDEO;0;769;28;01.12.2025
197;20;4;11;VIDEO;172;5012;1452;31.12.2023
198;4;8;12;VIDEO;117;2336;1076;01.02.2023
199;6;1;5;SOCIAL MEDIA;4;1754;63;28.04.2025
200;38;14;10;NEWSLETTER;72;653;240;23.02.2023
201;14;1;5;BLOG;0;786;21;27.06.2025
202;9;17;2;VIDEO;1;680;27;20.04.2025
203;13;1;18;SOCIAL MEDIA;306;4496;1368;04.01.2023
204;15;11;7;NEWSLETTER;6;1799;160;04.12.2024
205;18;13;1;NEWSLETTER;253;5215;741;28.02.2023
206;14;9;20;BLOG;7;1992;109;06.04.2025
207;50;1;14;NEWSLETTER;6;440;50;10.02.2025
208;31;15;18;BLOG;2;131;32;24.04.2024
209;25;3;7;VIDEO;1;779;24;10.08.2025
210;8;13;12;SOCIAL MEDIA;232;2113;624;23.08.2023
211;15;12;1;SOCIAL MEDIA;0;632;17;24.06.2025
212;17;18;16;BLOG;3;379;20;06.12.2024
213;9;16;3;NEWSLETTER;24;159;53;01.02.2023
214;3;16;1;SOCIAL MEDIA;0;423;20;20.05.2025
215;17;14;3;BLOG;21;4381;303;13.12.2023
216;32;4;17;VIDEO;234;4938;1068;06.08.2023
217;10;4;12;VIDEO;279;6297;1624;30.01.2023
218;50;18;9;VIDEO;80;2280;480;18.09.2024
219;45;5;20;SOCIAL MEDIA;376;2900;1294;15.03.2023
220;24;11;4;NEWSLETTER;53;4512;432;16.01.2024
221;24;6;20;NEWSLETTER;51;1671;199;09.03.2024
222;12;17;8;BLOG;0;93;4;16.08.2025
223;17;3;4;SOCIAL MEDIA;2;1157;42;10.08.2025
224;11;7;4;BLOG;4;1625;62;18.06.2025
225;20;13;3;SOCIAL MEDIA;71;2610;245;29.05.2023
226;19;7;10;NEWSLETTER;5;301;37;03.02.2025
227;21;20;10;NEWSLETTER;5;918;73;06.03.2025
228;35;2;19;VIDEO;0;780;18;02.11.2025
229;18;17;12;VIDEO;291;2361;746;27.01.2023
230;30;3;10;NEWSLETTER;23;1489;162;10.01.2025
231;29;13;8;NEWSLETTER;39;2236;396;23.05.2023
232;38;8;8;VIDEO;105;4956;495;09.09.2023
233;30;1;11;SOCIAL MEDIA;0;1063;20;05.08.2025
234;23;11;7;BLOG;7;191;41;13.03.2024
235;22;2;19;NEWSLETTER;78;3808;520;12.08.2024
236;27;16;13;NEWSLETTER;78;1857;324;15.01.2024
237;20;5;1;NEWSLETTER;0;579;10;24.10.2025
238;42;9;15;BLOG;14;1426;167;19.11.2023
239;11;11;10;VIDEO;10;1445;83;24.09.2024
240;34;20;1;VIDEO;0;801;38;23.10.2025
241;4;17;6;VIDEO;41;2226;478;04.06.2023
242;38;17;19;VIDEO;70;2178;280;13.05.2023
243;2;6;3;NEWSLETTER;336;3829;1284;05.04.2023
244;8;11;18;NEWSLETTER;22;1907;282;03.02.2025
245;39;10;7;VIDEO;339;9002;2059;15.02.2023
246;30;20;5;VIDEO;256;4556;1277;06.03.2024
247;40;9;1;BLOG;193;5576;860;01.02.2024
248;45;16;4;BLOG;1;680;24;23.04.2025
249;47;10;11;VIDEO;0;194;12;21.06.2025
250;9;17;15;VIDEO;708;3931;1744;01.03.2023
251;24;2;10;SOCIAL MEDIA;0;254;17;22.03.2025
252;29;10;5;SOCIAL MEDIA;0;456;8;16.11.2025
253;46;16;3;VIDEO;363;2279;972;11.04.2023
254;16;1;6;VIDEO;0;328;12;18.09.2025
255;4;19;4;NEWSLETTER;63;3126;617;12.10.2024
256;16;15;15;BLOG;29;3106;290;04.01.2025
257;16;7;19;NEWSLETTER;0;622;20;03.12.2025
258;32;7;3;SOCIAL MEDIA;132;3715;1027;28.10.2023
259;41;1;17;NEWSLETTER;29;1629;388;20.07.2024
260;7;15;13;VIDEO;14;1920;177;08.04.2025
261;36;17;15;VIDEO;12;852;79;05.01.2025
262;32;10;6;BLOG;0;171;6;07.07.2025
263;3;20;8;NEWSLETTER;11;2044;132;23.04.2025
264;35;16;10;SOCIAL MEDIA;0;473;23;20.07.2025
265;10;1;5;SOCIAL MEDIA;5;164;64;24.07.2023
266;13;13;9;BLOG;0;553;16;19.03.2025
267;34;14;7;VIDEO;42;4348;376;18.11.2023
268;23;3;12;SOCIAL MEDIA;235;5367;1627;30.01.2023
269;43;3;16;SOCIAL MEDIA;232;6484;763;22.10.2023
270;35;20;1;NEWSLETTER;203;4749;2069;17.04.2023
271;28;19;1;SOCIAL MEDIA;0;774;27;12.11.2025
272;50;8;15;VIDEO;0;198;8;25.10.2025
273;10;9;19;BLOG;60;506;175;11.11.2023
274;20;12;2;VIDEO;820;5486;1725;14.02.2023
275;19;10;8;NEWSLETTER;9;951;117;02.04.2025
276;27;11;17;SOCIAL MEDIA;13;1079;73;10.10.2024
277;15;8;13;NEWSLETTER;285;4437;789;26.09.2023
278;38;2;10;NEWSLETTER;426;8679;967;02.05.2023
279;50;3;3;NEWSLETTER;13;1741;86;13.09.2024
280;21;18;11;SOCIAL MEDIA;9;779;88;20.11.2024
281;34;9;18;SOCIAL MEDIA;0;115;5;06.04.2025
282;35;13;14;BLOG;1;998;72;19.06.2025
283;17;10;16;BLOG;1;961;29;26.05.2025
284;30;1;7;VIDEO;41;3654;231;01.11.2024
285;12;10;15;BLOG;25;2374;300;04.02.2025
286;2;17;9;VIDEO;6;745;78;08.03.2025
287;41;2;17;SOCIAL MEDIA;0;625;25;13.11.2025
288;21;6;10;SOCIAL MEDIA;255;7333;1200;02.07.2023
289;16;6;2;BLOG;40;2622;364;24.11.2024
290;20;13;7;SOCIAL MEDIA;521;6881;2028;25.09.2023
291;34;18;12;NEWSLETTER;47;1683;321;29.08.2024
292;47;7;15;BLOG;259;6436;1497;11.07.2023
293;35;13;5;SOCIAL MEDIA;91;1712;395;04.07.2024
294;38;15;16;BLOG;523;7071;1859;31.10.2023
295;27;1;17;VIDEO;520;5666;1655;15.12.2023
296;37;14;13;SOCIAL MEDIA;169;3196;1111;15.02.2023
297;41;12;12;VIDEO;69;2929;410;16.10.2024
298;13;6;1;NEWSLETTER;0;151;2;18.09.2025
299;14;14;20;SOCIAL MEDIA;48;1026;320;22.06.2023
300;8;8;14;NEWSLETTER;8;1055;66;25.02.2024
301;3;19;10;NEWSLETTER;69;3988;570;17.12.2023
302;49;9;20;SOCIAL MEDIA;0;683;20;26.11.2025
303;32;17;1;BLOG;0;167;2;09.08.2025
304;43;2;20;BLOG;18;2308;261;18.04.2025
305;14;17;19;VIDEO;152;6103;790;11.07.2023
306;26;16;10;BLOG;0;48;2;27.10.2025
307;29;10;11;BLOG;31;1616;190;04.12.2024
308;40;17;13;VIDEO;25;1902;365;15.03.2024
309;11;9;10;NEWSLETTER;2;1513;68;30.05.2025
310;23;11;7;NEWSLETTER;69;2673;537;17.05.2023
311;33;11;13;VIDEO;210;6357;968;13.10.2023
312;22;3;7;NEWSLETTER;570;9205;1157;04.01.2023
313;15;6;19;NEWSLETTER;316;6876;1581;10.05.2023
314;27;1;18;VIDEO;10;694;81;29.09.2024
315;35;2;9;NEWSLETTER;1;152;13;02.11.2024
316;3;4;19;SOCIAL MEDIA;27;1508;196;11.11.2024
317;42;16;10;SOCIAL MEDIA;94;1974;785;16.07.2023
318;34;12;20;SOCIAL MEDIA;1;378;29;20.06.2025
319;37;10;7;NEWSLETTER;17;1123;137;18.09.2024
320;12;8;3;VIDEO;5;440;85;19.09.2024
321;27;15;12;SOCIAL MEDIA;5;1057;58;21.06.2025
322;41;15;4;VIDEO;0;32;0;04.09.2025
323;11;15;6;NEWSLETTER;6;1833;197;07.05.2025
324;15;3;12;NEWSLETTER;2;497;40;05.06.2025
325;35;10;9;BLOG;7;1092;56;27.01.2025
326;46;1;9;BLOG;14;3117;213;12.11.2024
327;27;20;14;BLOG;42;603;133;03.01.2024
328;26;11;10;SOCIAL MEDIA;32;2884;144;28.08.2024
329;18;3;19;VIDEO;197;3374;773;27.04.2024
330;22;9;1;NEWSLETTER;943;8091;2991;09.06.2023
331;28;2;12;SOCIAL MEDIA;3;499;28;25.04.2025
332;11;1;11;BLOG;53;2533;355;03.09.2023
333;50;4;6;VIDEO;110;5670;734;26.01.2023
334;37;19;8;NEWSLETTER;339;4405;1143;27.04.2023
335;19;19;10;BLOG;11;1084;118;17.12.2024
336;50;11;4;VIDEO;41;1619;249;02.10.2024
337;5;15;5;VIDEO;75;1915;382;05.05.2024
338;41;5;1;BLOG;23;2000;198;01.01.2025
339;26;3;1;NEWSLETTER;460;6753;2013;21.09.2023
340;6;20;14;SOCIAL MEDIA;455;5854;1604;25.03.2024
341;14;10;9;SOCIAL MEDIA;7;1679;174;06.01.2025
342;10;4;6;BLOG;199;2100;713;13.03.2023
343;36;10;15;VIDEO;4;79;19;19.05.2024
344;15;16;10;BLOG;0;347;16;04.11.2025
345;14;19;13;VIDEO;781;7762;2590;02.07.2023
346;1;2;20;SOCIAL MEDIA;20;1758;182;21.08.2024
347;21;5;15;VIDEO;244;2401;713;09.10.2023
348;7;1;13;NEWSLETTER;29;2316;164;29.08.2024
349;21;19;6;SOCIAL MEDIA;117;4394;592;28.07.2024
350;9;12;20;NEWSLETTER;296;4529;1221;11.09.2023
351;24;18;12;BLOG;4;478;30;19.03.2024
352;16;14;8;NEWSLETTER;94;2585;319;05.01.2023
353;28;11;9;BLOG;12;847;126;18.01.2025
354;27;7;18;BLOG;0;720;21;10.11.2025
355;38;6;2;VIDEO;54;3382;532;07.11.2024
356;23;2;5;BLOG;94;3688;808;21.01.2024
357;1;7;7;SOCIAL MEDIA;31;3251;157;11.10.2024
358;35;4;6;BLOG;0;74;2;10.03.2025
359;5;6;20;VIDEO;633;5643;1767;02.07.2023
360;50;6;3;NEWSLETTER;43;2486;463;19.07.2024
361;35;15;13;VIDEO;26;1656;164;24.06.2023
362;12;14;14;SOCIAL MEDIA;355;7779;1000;10.05.2023
363;39;20;1;VIDEO;97;2018;441;17.04.2024
364;3;6;20;BLOG;1284;7805;3328;24.02.2023
365;15;14;17;BLOG;0;448;9;09.10.2025
366;33;5;13;SOCIAL MEDIA;27;2951;221;23.09.2024
367;17;1;20;SOCIAL MEDIA;0;75;1;20.10.2025
368;8;15;8;VIDEO;185;4897;982;16.04.2024
369;6;15;11;SOCIAL MEDIA;180;1289;449;20.02.2023
370;45;7;14;SOCIAL MEDIA;13;1918;118;12.08.2024
371;14;19;16;NEWSLETTER;39;3206;245;01.08.2024
372;37;3;2;NEWSLETTER;271;5168;1366;12.02.2024
373;45;3;17;SOCIAL MEDIA;241;4519;1024;26.06.2024
374;24;10;15;BLOG;333;5248;1210;15.04.2024
375;44;7;9;BLOG;0;439;11;06.11.2025
376;37;1;8;BLOG;100;4372;899;23.08.2024
377;16;16;16;BLOG;1;148;16;30.03.2025
378;22;14;18;VIDEO;526;7680;2029;19.08.2023
379;19;10;18;VIDEO;66;1942;392;15.03.2024
380;41;20;16;SOCIAL MEDIA;3;273;33;20.01.2025
381;49;20;3;VIDEO;10;2509;181;28.02.2025
382;24;1;2;BLOG;30;286;95;04.05.2023
383;20;20;6;NEWSLETTER;522;8138;1754;23.06.2023
384;34;10;8;SOCIAL MEDIA;305;7361;2639;16.04.2023
385;34;5;8;SOCIAL MEDIA;33;2505;324;21.06.2024
386;22;16;18;BLOG;0;448;21;10.12.2025
387;38;6;8;SOCIAL MEDIA;74;2680;441;27.11.2024
388;31;6;3;SOCIAL MEDIA;533;5684;1754;09.01.2023
389;42;4;1;SOCIAL MEDIA;46;1548;309;24.05.2024
390;31;15;7;BLOG;526;5569;1596;11.09.2023
391;24;14;18;NEWSLETTER;2;555;29;04.04.2025
392;12;16;6;SOCIAL MEDIA;10;972;132;06.03.2025
393;38;5;4;SOCIAL MEDIA;4;1649;89;28.06.2025
394;19;8;17;VIDEO;41;1434;320;23.05.2023
395;26;3;1;VIDEO;681;4746;2012;09.02.2023
396;30;14;14;BLOG;30;1770;194;25.11.2024
397;18;18;9;NEWSLETTER;487;3491;1278;20.05.2023
398;27;12;20;BLOG;0;522;21;17.09.2025
399;32;5;1;NEWSLETTER;380;4548;1543;05.04.2023
400;37;6;2;BLOG;34;1815;324;30.08.2024
401;41;12;17;BLOG;1;1305;30;16.07.2025
402;2;14;5;VIDEO;950;9328;4574;04.01.2023
403;22;18;11;VIDEO;18;2059;119;18.08.2024
404;43;12;8;NEWSLETTER;22;2848;381;07.10.2024
405;42;6;7;NEWSLETTER;110;2490;541;13.06.2024
406;36;16;7;SOCIAL MEDIA;137;6347;741;09.09.2023
407;20;7;16;BLOG;0;318;6;04.09.2025
408;12;4;12;NEWSLETTER;33;1097;199;12.08.2024
409;28;13;5;BLOG;4;412;37;25.02.2024
410;23;20;2;SOCIAL MEDIA;105;3711;543;08.09.2024
411;3;20;12;BLOG;503;5430;1637;13.01.2024
412;28;14;16;NEWSLETTER;1;836;46;06.06.2025
413;28;5;8;BLOG;21;2164;250;18.08.2024
414;28;9;3;SOCIAL MEDIA;130;4684;502;06.02.2024
415;35;15;16;BLOG;6;1922;94;30.05.2025
416;25;5;19;NEWSLETTER;157;4543;1195;27.11.2023
417;29;6;2;BLOG;43;3275;256;09.05.2024
418;35;10;15;VIDEO;1;846;28;02.09.2025
419;39;7;10;SOCIAL MEDIA;409;2803;978;28.02.2023
420;23;1;13;BLOG;188;4713;1086;30.10.2023
421;35;14;8;BLOG;1;557;36;31.07.2025
422;46;15;8;BLOG;1;1064;63;22.08.2025
423;10;16;6;BLOG;130;3504;1178;29.11.2023
424;47;2;9;VIDEO;0;101;1;20.11.2025
425;26;20;8;SOCIAL MEDIA;17;2097;102;05.11.2024
426;23;12;4;VIDEO;34;1186;225;15.09.2024
427;37;15;15;BLOG;0;235;16;16.07.2025
428;2;12;17;VIDEO;0;120;3;12.12.2025
429;22;13;13;VIDEO;251;4450;814;10.02.2024
430;44;2;6;VIDEO;0;677;9;23.11.2025
431;20;20;16;VIDEO;0;1044;14;21.08.2025
432;32;9;12;NEWSLETTER;4;1773;111;17.01.2025
433;26;20;7;NEWSLETTER;1;83;19;31.05.2024
434;32;17;17;BLOG;0;112;3;16.06.2025
435;27;19;6;VIDEO;9;580;88;18.09.2024
436;40;4;8;NEWSLETTER;5;514;47;14.09.2024
437;43;5;11;BLOG;71;3986;307;07.03.2024
438;21;4;17;SOCIAL MEDIA;186;2678;661;18.01.2024
439;23;13;14;BLOG;66;3674;281;11.05.2024
440;9;5;20;BLOG;3;175;18;22.04.2024
441;6;5;18;SOCIAL MEDIA;131;5865;712;20.02.2024
442;37;14;6;NEWSLETTER;4;1693;89;28.04.2025
443;5;8;12;SOCIAL MEDIA;97;3591;613;05.11.2024
444;47;8;20;BLOG;2;487;57;22.01.2025
445;41;16;18;NEWSLETTER;5;1479;80;21.05.2025
446;34;5;9;NEWSLETTER;2;1053;48;22.06.2025
447;25;2;10;SOCIAL MEDIA;0;877;21;09.12.2025
448;25;7;5;SOCIAL MEDIA;4;1705;130;17.06.2025
449;25;10;16;SOCIAL MEDIA;61;1147;209;27.10.2023
450;1;20;15;SOCIAL MEDIA;332;5462;1685;19.04.2023
451;48;5;16;SOCIAL MEDIA;15;624;131;18.08.2024
452;38;5;14;VIDEO;15;1853;259;03.01.2025
453;34;15;19;NEWSLETTER;2;1224;49;26.06.2025
454;9;4;8;BLOG;46;1701;528;01.12.2023
455;39;19;19;VIDEO;0;58;4;15.04.2024
456;21;8;14;VIDEO;0;518;13;10.09.2025
457;36;16;1;SOCIAL MEDIA;67;3815;1077;17.04.2024
458;30;7;7;NEWSLETTER;43;2995;415;23.06.2024
459;43;8;2;SOCIAL MEDIA;9;1186;129;08.12.2024
460;24;18;18;SOCIAL MEDIA;296;6974;1320;18.06.2023
461;32;19;15;NEWSLETTER;8;204;44;20.05.2024
462;11;13;2;NEWSLETTER;25;2717;304;18.09.2024
463;28;13;13;NEWSLETTER;7;2060;143;04.12.2024
464;17;3;5;NEWSLETTER;2;62;15;19.04.2024
465;25;1;14;BLOG;134;5626;497;28.06.2023
466;20;7;8;BLOG;52;3351;359;04.06.2024
